,,dwellings,townhouses,apartments,dwellings_$'000,townhouses_$'000,apartments_$'000
762,2018-10-01,1062,83,146,302668,18600,50601
763,2018-11-01,1145,83,38,346600,18764,11016
764,2018-12-01,861,74,63,261458,19486,23235
765,2019-01-01,861,76,338,255103,15042,78545
766,2019-02-01,947,54,269,268976,14370,98699
767,2019-03-01,1013,169,208,300474,40199,41166
768,2019-04-01,961,123,146,277033,25306,35344
769,2019-05-01,1089,88,313,315992,21364,110020
770,2019-06-01,946,132,67,285642,28123,25672
771,2019-07-01,936,108,201,281850,24479,44148
772,2019-08-01,906,63,586,268364,18561,245800
773,2019-09-01,928,94,12,276444,23926,4482
774,2019-10-01,1026,112,175,304813,23412,56342
775,2019-11-01,1007,103,46,304175,30768,15500
776,2019-12-01,864,53,115,268373,13757,47727
777,2020-01-01,838,63,45,253832,15799,11221
778,2020-02-01,947,45,132,294041,10837,44222
779,2020-03-01,933,112,116,283033,26367,34054
780,2020-04-01,1000,69,245,286519,15664,73102
781,2020-05-01,957,83,314,295562,20203,86898
782,2020-06-01,921,44,117,269166,16520,48546
