Year,Month,State,Sales
2018,9,ACT,464
2018,9,NSW,3499
2018,9,QLD,1499
2018,9,SA,1381
2018,9,VIC,4888
2018,9,WA,1632
2018,10,ACT,528
2018,10,NSW,3685
2018,10,QLD,1579
2018,10,SA,1631
2018,10,VIC,5891
2018,10,WA,1831
2018,11,ACT,573
2018,11,NSW,4014
2018,11,QLD,1671
2018,11,SA,1735
2018,11,VIC,5479
2018,11,WA,1912
2018,12,ACT,434
2018,12,NSW,2733
2018,12,QLD,1412
2018,12,SA,1455
2018,12,VIC,4741
2018,12,WA,1622
2019,1,ACT,302
2019,1,NSW,1638
2019,1,QLD,1154
2019,1,SA,1184
2019,1,VIC,3112
2019,1,WA,1636
2019,2,ACT,488
2019,2,NSW,3188
2019,2,QLD,1301
2019,2,SA,1447
2019,2,VIC,4628
2019,2,WA,1599
2019,3,ACT,541
2019,3,NSW,4103
2019,3,QLD,1508
2019,3,SA,1592
2019,3,VIC,5723
2019,3,WA,1781
2019,4,ACT,437
2019,4,NSW,3505
2019,4,QLD,1449
2019,4,SA,1488
2019,4,VIC,5036
2019,4,WA,1714
2019,5,ACT,534
2019,5,NSW,3989
2019,5,QLD,1416
2019,5,SA,1607
2019,5,VIC,5735
2019,5,WA,1854
2019,6,ACT,317
2019,6,NSW,3881
2019,6,QLD,1453
2019,6,SA,1410
2019,6,VIC,5578
2019,6,WA,1749
2019,7,ACT,578
2019,7,NSW,4012
2019,7,QLD,1571
2019,7,SA,1517
2019,7,VIC,5461
2019,7,WA,1939
2019,8,ACT,469
2019,8,NSW,4343
2019,8,QLD,1567
2019,8,SA,1537
2019,8,VIC,6138
2019,8,WA,1849
2019,9,ACT,507
2019,9,NSW,4502
2019,9,QLD,1583
2019,9,SA,1457
2019,9,VIC,5789
2019,9,WA,1821
2019,10,ACT,590
2019,10,NSW,5046
2019,10,QLD,1709
2019,10,SA,1715
2019,10,VIC,7171
2019,10,WA,2163
2019,11,ACT,742
2019,11,NSW,5834
2019,11,QLD,1858
2019,11,SA,1849
2019,11,VIC,7527
2019,11,WA,2066
2019,12,ACT,576
2019,12,NSW,3799
2019,12,QLD,1548
2019,12,SA,1554
2019,12,VIC,5971
2019,12,WA,1947
2020,1,ACT,303
2020,1,NSW,2038
2020,1,QLD,1331
2020,1,SA,1278
2020,1,VIC,3231
2020,1,WA,1901
2020,2,ACT,594
2020,2,NSW,4700
2020,2,QLD,1525
2020,2,SA,1550
2020,2,VIC,6248
2020,2,WA,1916
2020,3,ACT,571
2020,3,NSW,4668
2020,3,QLD,1589
2020,3,SA,1572
2020,3,VIC,6141
2020,3,WA,2020
2020,4,ACT,410
2020,4,NSW,2872
2020,4,QLD,1048
2020,4,SA,1199
2020,4,VIC,3616
2020,4,WA,1480
2020,5,ACT,485
2020,5,NSW,3484
2020,5,QLD,1059
2020,5,SA,1192
2020,5,VIC,4242
2020,5,WA,1231
2020,6,ACT,433
2020,6,NSW,3972
2020,6,QLD,1081
2020,6,SA,1120
2020,6,VIC,4864
2020,6,WA,1371
2020,7,ACT,225
2020,7,NSW,1790
2020,7,QLD,329
2020,7,SA,387
2020,7,VIC,1970
2020,7,WA,627
